brand,articul,note,source_url,source_tier,confidence_status,error,name,collection,mechanism,caliber,diameter,water_resistance,seconds
Aerowatch,A 60996 AA04 M,Gents Automatic,,blocked,manual_check_required,,Aerowatch A 60996 AA04 M,,,,,,74.65
Alain Silberstein,Krono Bauhaus,auction reference,https://monochrome-watches.com/bell-ross-x-alain-silberstein-black-ceramic-trilogy-grail-watch-introducing-specs-price/,reputable,partial,,Bell & Ross BR 03-94 Krono 22 KRONO BAUHAUS,,Механический,BR. CAL-301 (ETA 2894),42 мм,100 м,135.91
Alpina,AL-525LBG4V6,Seastrong Diver,https://www.seriouswatches.com/products/alpina-seastrong-diver-300-al-525lbg4v6,unknown,partial,,Alpina Seastrong Diver AL-525LBG4V6,Seastrong Diver,Механический,AL-525,не найдено,300 м,211.98
Armand Nicolet,A640P-KN-P0640NC8,official product page,https://www.alltime.ru/watch/armand-nicolet/A640P-KN-P0640NC8/530018/,authorized,partial,,Armand Nicolet A640P-KN-P0640NC8,,Кварцевый,не найдено,41 мм,не найдено,137.54
Audemars Piguet,15510ST.OO.1320ST.06,Royal Oak official,https://www.audemarspiguet.com/com/en/watch-collection/royal-oak/15510ST.OO.1320ST.06.html,unknown,partial,,Audemars Piguet Royal Oak Selfwinding 15510ST.OO.1320ST.06,Royal Oak,Механический,не найдено,41 мм,не найдено,127.6
Auguste Reymond,AR.UN.04A.002.102.201,Unity,https://www.thewatchpages.com/watches/auguste-reymond-unity-arun04a002102201/,unknown,partial,,Auguste Reymond Unity AR.UN.04A.002.102.201,Unity,Механический,AR 200-1,43 мм,100 м,145.47
Ball,NM2080D-S1J-SL,Trainmaster Eternity,https://www.firstclasswatches.co.uk/ball-watch-company-trainmaster-eternity-silver-dial-automatic-day-date-display-nm2080d-s1j-sl-p-48177/?srsltid=AfmBOoqhnaZ821vxz9FhZ0LnXdNKTJXxFWym69xXmelnaw6D5F8fgS2h,unknown,partial,,Ball Trainmaster Eternity NM2080D-S1J-SL,Trainmaster,Механический,не найдено,39.5 мм,не найдено,146.65
Baume & Mercier,M0A10616,Riviera,https://watches.ae/products/m0a10616?srsltid=AfmBOopeLWcSoGpdIOcdvyed7BfjgiRp2KzHn2sE98wr66CceyWYDHj9,unknown,partial,,Baume & Mercier Riviera M0A10616,Riviera,Механический,BM13-1975A,42 мм,10 м,185.43
Bell & Ross,BR05A-BL-ST/SST,BR-05 official,https://www.the1916company.com/watches/bell & ross/br05a-bl-st/sst/,reputable,partial,,Bell & Ross BR-05 Black Steel BR05A-BL-ST/SST,BR-05,Механический,BR-CAL.321,40 мм,100 м,115.23
Bernhard H. Mayer,BM1016,Le Classique Rubber,https://zadwatch.com/products/le-classique-bernhard-h-mayer-bm1016-men?srsltid=AfmBOopmSWpiQCOenCYmGtv_Tj1Bykd9oEGt4sSmcPgSg1bNJmGDmY0C,reputable,partial,,Bernhard H. Mayer Le Classique BM1016,Le Classique,Кварцевый,не найдено,42 мм,100 м,104.57
